StudyID	Age-Min	Age-Max	MALE	FEMALE	Unknown	Other Gender	White/ Caucasian	European	Asian Korean	Asian	Black / African 	Black or African American 	African	African Barbedian	Indian/Native American	Native Hawaiian or Pacific Islander	American Indian or Alaska Native	Multiple Races	Hispanic	Non Hispanic	Other/ Unknown	Missing	Ashkenazi Jewish	French Canadian 	Polish 	Italian	"England,Ireland (2)"	Ireland 	Lebanese	"Irish, Italian"	"Germany [non Ashkenazi jewish],England ,Ireland "	Han_Chinese	Puerto Rican	Hawaiian	Mexican	British	Swiss	Spaniard	Portugese	French	Finnish	German	Russian	Ukrainian	Romanian	Hungarian	Czehs	Jewish	Israeli	Canadian	Dutch Canadian	American (USA)	European American	Mexican American	Peruvian	venezuelan	Cuban	Indian	Japanese	Chinese	Filipino	Middle Eastern	Arabic	Omani Arabic	Pakistani	Turkish	Amhara	Hamer
phs000210.v1.p1	45.13	86.89																																																																		
phs000211.v1.p1			167	223			1					1																				1																						1														
phs000215.v1.p1																																																																				
phs000216.v1.p1																																																																				
phs000217.v1.p1																																																																				
phs000218.v5.p1																																																																				
phs000219.v1.p1	42.6	200	632	989																																																																
phs000220.v1.p1																																																																				
phs000221.v1.p1																																																																				
phs000222.v1.p1			184	321																																																																
phs000223.v1.p1			1420	2323																																																																
phs000224.v1.p1	4	85	411	981			1													1																																																
phs000225.v1.p1																																																																				
phs000226.v2.p1			1567	2428																																																																
phs000228.v3.p1			149	151															1														1		1																																	
phs000234.v1.p1	53	90																																																																		
phs000235.v4.p1																																																																				
phs000236.v1.p1																																																																				
phs000237.v1.p1	18	90	1515	2027			1					1																																																								
phs000239.v2.p1			2	4			1					1																																																								
phs000240.v1.p1	40	80	600	463			1			1		1				1	1		1	1																																																
phs000244.v1.p1																																																																				
phs000245.v1.p1																																																																				
phs000247.v2.p2			87	89		1	1			1		1					1		1	1																																																
phs000249.v1.p1	15	200	103	47			1			1			1																																																							
phs000250.v1.p1	3	8	196	155			1			1		1				1		1																																																		
phs000355.v1.p1																																																																				
phs000357.v1.p1	18	88	85	748																1																																																
phs000358.v1.p1	4	30	763	620						1		1							1	1																																																
phs000359.v1.p1																																																																				
phs000361.v1.p1	39	69	3829	1794																																																																
phs000364.v1.p1	46.5	67.4	2	3																																																																
phs000365.v1.p1	1	42	2	1			3																																																													
phs000366.v1.p1																																																																				
phs000368.v1.p1	13	90	1	4150								1							1	1																																																
phs000369.v1.p1	31	90	0	108																																																																
phs000370.v1.p1	33	79	69	23			1					1																																																								
phs000374.v1.p1	52	84	4	3		2	1			1																																																										
phs000375.v1.p1																																																																				
phs000379.v1.p1																																																																				
phs000380.v1.p1	18	97	199	783			1					1				1	1		1																																																	
phs000381.v1.p1	21	89	743	488			1					1				1	1		1																																																	
phs000384.v1.p1	40	63	2	2																																																																
phs000385.v1.p1	33	90	53	47																																																																
phs000387.v1.p1	44	89	716	194			1																																																													
phs000388.v1.p1	22	89	1513	1354								1																																									1															
phs000389.v1.p1	17	90	910	891																																																																
